time,pm1s10,pm1s25,pm1e10,pm1e25
2025-02-12 20:21:51+00:00,,,,73.0
2025-02-12 20:22:51+00:00,,,,83.0
2025-02-12 20:23:53+00:00,,,,86.0
2025-02-12 20:24:54+00:00,,,,83.0
2025-02-12 20:25:56+00:00,,,,82.0
2025-02-12 20:26:56+00:00,,,,55.0
2025-02-12 20:27:57+00:00,,,,55.0
2025-02-12 20:29:05+00:00,,,,72.0
2025-02-12 20:30:05+00:00,,,,60.0
2025-02-12 20:31:07+00:00,,,,73.0
2025-02-12 20:32:08+00:00,,,,106.0
2025-02-12 20:45:27+00:00,,,,66.0
2025-02-12 20:46:28+00:00,,,,66.0
2025-02-12 20:47:30+00:00,,,,59.0
2025-02-12 21:13:03+00:00,,,,66.0
2025-02-12 21:14:07+00:00,,,,84.0
2025-02-12 21:15:09+00:00,,,,87.0
2025-02-12 21:16:10+00:00,,,,81.0
2025-02-12 21:17:12+00:00,,,,89.0
2025-02-12 21:18:13+00:00,,,,79.0
2025-02-12 21:19:14+00:00,,,,78.0
2025-02-12 21:20:16+00:00,,,,83.0
2025-02-12 21:21:16+00:00,,,,91.0
2025-02-12 21:22:17+00:00,,,,54.0
2025-02-12 21:23:19+00:00,,,,58.0
2025-02-12 22:03:42+00:00,,,,85.0
2025-02-12 22:05:45+00:00,,,,78.0
2025-02-12 22:07:48+00:00,,,,95.0
2025-02-12 22:08:49+00:00,,,,73.0
2025-02-12 22:09:51+00:00,,,,84.0
2025-02-12 22:10:51+00:00,,,,88.0
2025-02-12 22:11:52+00:00,,,,100.0
2025-02-12 22:12:54+00:00,,,,112.0
2025-02-12 22:15:14+00:00,,,,84.0
2025-02-12 22:18:17+00:00,,,,78.0
2025-02-12 22:19:19+00:00,,,,81.0
2025-02-12 22:20:20+00:00,,,,86.0
2025-02-12 22:21:22+00:00,,,,71.0
2025-02-12 22:22:23+00:00,,,,72.0
2025-02-12 22:24:26+00:00,,,,60.0
2025-02-12 22:25:28+00:00,,,,81.0
2025-02-12 22:26:29+00:00,,,,84.0
2025-02-12 22:27:30+00:00,,,,65.0
2025-02-12 22:28:32+00:00,,,,88.0
2025-02-12 22:29:33+00:00,,,,67.0
2025-02-12 22:30:35+00:00,,,,66.0
2025-02-12 22:31:36+00:00,,,,54.0
2025-02-12 22:37:45+00:00,,,,71.0
2025-02-12 22:38:46+00:00,,,,61.0
2025-02-12 22:39:48+00:00,,,,91.0
2025-02-12 22:40:49+00:00,,,,108.0
2025-02-12 22:41:51+00:00,,,,82.0
2025-02-12 22:42:51+00:00,,,,79.0
2025-02-12 22:44:10+00:00,,,,53.0
2025-02-12 22:54:17+00:00,,,,70.0
2025-02-12 22:56:20+00:00,,,,86.0
2025-02-12 22:57:21+00:00,,,,107.0
2025-02-12 22:58:23+00:00,,,,67.0
2025-02-12 22:59:24+00:00,,,,65.0
2025-02-12 23:00:25+00:00,,,,110.0
2025-02-12 23:01:27+00:00,,,,65.0
2025-02-12 23:02:28+00:00,,,,72.0
2025-02-12 23:03:30+00:00,,,,82.0
2025-02-12 23:04:31+00:00,,,,81.0
2025-02-12 23:05:33+00:00,,,,74.0
2025-02-12 23:06:34+00:00,,,,51.0
2025-02-12 23:07:36+00:00,,,,79.0
2025-02-12 23:08:37+00:00,,,,88.0
2025-02-12 23:10:40+00:00,,,,52.0
2025-02-12 23:15:47+00:00,,,,83.0
2025-02-12 23:16:49+00:00,,,,100.0
2025-02-12 23:17:50+00:00,,,,83.0
2025-02-12 23:18:50+00:00,,,,85.0
2025-02-12 23:21:54+00:00,,,,68.0
2025-02-12 23:22:55+00:00,,,,91.0
2025-02-12 23:23:56+00:00,,,,82.0
2025-02-12 23:24:57+00:00,,,,88.0
2025-02-12 23:25:59+00:00,,,,83.0
2025-02-12 23:27:00+00:00,,,,86.0
2025-02-12 23:28:02+00:00,,,,128.0
2025-02-12 23:30:12+00:00,,,,79.0
2025-02-12 23:31:14+00:00,,,,55.0
2025-02-12 23:39:24+00:00,,,,131.0
2025-02-12 23:40:25+00:00,,,,70.0
2025-02-12 23:41:27+00:00,,,,56.0
2025-02-12 23:44:31+00:00,,,,51.0
2025-02-12 23:45:33+00:00,,,,156.0
2025-02-13 00:08:02+00:00,,,,52.0
2025-02-13 00:09:03+00:00,,,,71.0
2025-02-13 00:10:05+00:00,,,,102.0
2025-02-13 00:11:06+00:00,,,,130.0
2025-02-13 00:12:08+00:00,,,,79.0
2025-02-13 00:27:30+00:00,,,,102.0
2025-02-13 00:28:32+00:00,,,,105.0
2025-02-13 00:29:33+00:00,,,,127.0
2025-02-13 00:30:35+00:00,,,,117.0
2025-02-13 00:31:36+00:00,,,,149.0
2025-02-13 00:32:38+00:00,,,,204.0
2025-02-13 00:33:39+00:00,,,,283.0
2025-02-13 00:34:41+00:00,,,,256.0
2025-02-13 00:35:42+00:00,,,,138.0
2025-02-13 00:36:43+00:00,,,,89.0
2025-02-13 00:37:45+00:00,,,,101.0
2025-02-13 00:38:46+00:00,,,,118.0
2025-02-13 00:39:48+00:00,,,,113.0
2025-02-13 00:40:49+00:00,,,,86.0
2025-02-13 00:41:51+00:00,,,,69.0
2025-02-13 00:43:52+00:00,,,,62.0
2025-02-13 00:44:54+00:00,,,,66.0
2025-02-13 00:45:55+00:00,,,,78.0
2025-02-13 00:46:55+00:00,,,,85.0
2025-02-13 00:48:58+00:00,,,,307.0
2025-02-13 00:50:00+00:00,,,,298.0
2025-02-13 00:51:01+00:00,,,,231.0
2025-02-13 00:52:02+00:00,,,,139.0
2025-02-13 00:53:04+00:00,,,,138.0
2025-02-13 00:54:05+00:00,,,,114.0
2025-02-13 04:58:59+00:00,,,,60.0
2025-02-13 17:42:37+00:00,,,,68.0
2025-02-13 17:43:38+00:00,,,,64.0
2025-02-13 17:44:39+00:00,,,,101.0
2025-02-13 17:45:39+00:00,,,,51.0
2025-02-13 17:47:40+00:00,,,,51.0
2025-02-13 17:49:41+00:00,,,,51.0
2025-02-13 17:57:59+00:00,,,,56.0
2025-02-13 18:01:02+00:00,,,,77.0
2025-02-13 18:02:02+00:00,,,,74.0
2025-02-13 18:03:04+00:00,,,,60.0
2025-02-13 18:04:05+00:00,,,,55.0
2025-02-13 18:05:07+00:00,,,,62.0
2025-02-13 18:06:08+00:00,,,,55.0
2025-02-13 18:08:10+00:00,,,,53.0
2025-02-13 18:09:11+00:00,,,,59.0
2025-02-13 18:13:16+00:00,,,,51.0
2025-02-13 18:14:17+00:00,,,,82.0
2025-02-13 18:15:18+00:00,,,,71.0
2025-02-13 18:16:20+00:00,,,,69.0
2025-02-13 19:39:55+00:00,,,,51.0
2025-02-13 20:07:38+00:00,,,,57.0
2025-02-13 20:08:39+00:00,,,,52.0
2025-02-13 20:09:41+00:00,,,,55.0
2025-02-13 20:10:42+00:00,,,,53.0
2025-02-13 20:12:45+00:00,,,,55.0
2025-02-14 01:17:54+00:00,,,,52.0
2025-02-14 01:19:57+00:00,,,,52.0
2025-02-14 01:20:58+00:00,,,,54.0
2025-02-14 01:27:07+00:00,,,,52.0
2025-02-14 01:29:16+00:00,,,,62.0
2025-02-14 01:30:18+00:00,,,,63.0
2025-02-14 01:31:19+00:00,,,,55.0
2025-02-14 01:32:21+00:00,,,,57.0
2025-02-14 01:33:22+00:00,,,,276.0
2025-02-14 01:34:24+00:00,,,,190.0
2025-02-14 01:35:25+00:00,,,,85.0
2025-02-14 01:36:26+00:00,,,,102.0
2025-02-14 01:37:28+00:00,,,,100.0
2025-02-14 01:38:29+00:00,,,,73.0
2025-02-14 01:39:31+00:00,,,,80.0
2025-02-14 01:40:32+00:00,,,,60.0
2025-02-14 01:41:34+00:00,,,,51.0
2025-02-14 01:43:36+00:00,,,,60.0
2025-02-14 01:44:38+00:00,,,,55.0
2025-02-14 01:45:39+00:00,,,,132.0
2025-02-14 01:46:41+00:00,,,,75.0
2025-02-14 01:47:42+00:00,,,,67.0
2025-02-14 01:48:44+00:00,,,,61.0
2025-02-14 01:49:45+00:00,,,,56.0
2025-02-14 01:50:47+00:00,,,,61.0
2025-02-14 01:51:48+00:00,,,,55.0
2025-02-14 01:52:49+00:00,,,,116.0
2025-02-14 01:53:51+00:00,,,,203.0
2025-02-14 01:54:52+00:00,,,,74.0
2025-02-14 01:55:53+00:00,,,,52.0
2025-02-14 02:01:00+00:00,,,,64.0
2025-02-14 02:02:01+00:00,,,,59.0
2025-02-14 02:04:04+00:00,,,,56.0
2025-02-14 02:15:20+00:00,,,,52.0
2025-02-14 02:16:21+00:00,,,,52.0
2025-02-14 02:17:23+00:00,,,,52.0
2025-02-14 02:23:31+00:00,,,,52.0
2025-02-14 02:25:34+00:00,,,,55.0
2025-02-14 02:26:36+00:00,,,,54.0
2025-02-14 02:27:37+00:00,,,,54.0
2025-02-14 02:29:40+00:00,,,,54.0
2025-02-14 02:35:49+00:00,,,,51.0
2025-02-14 02:43:59+00:00,,,,51.0
2025-02-14 02:48:05+00:00,,,,52.0
2025-02-14 02:54:10+00:00,,,,51.0
2025-02-14 03:07:31+00:00,,,,51.0
2025-02-14 03:09:34+00:00,,,,51.0
2025-02-14 03:12:38+00:00,,,,51.0
2025-02-14 03:15:42+00:00,,,,56.0
2025-02-14 03:16:44+00:00,,,,52.0
2025-02-14 03:17:45+00:00,,,,55.0
2025-02-14 03:18:47+00:00,,,,53.0
2025-02-14 03:19:48+00:00,,,,52.0
2025-02-14 03:20:49+00:00,,,,53.0
2025-02-14 03:21:51+00:00,,,,56.0
2025-02-14 03:22:52+00:00,,,,55.0
2025-02-14 03:23:54+00:00,,,,53.0
2025-02-14 03:24:55+00:00,,,,57.0
2025-02-14 03:25:57+00:00,,,,52.0
2025-02-14 03:26:58+00:00,,,,52.0
2025-02-14 03:28:00+00:00,,,,54.0
2025-02-14 03:29:01+00:00,,,,58.0
2025-02-14 03:30:02+00:00,,,,53.0
2025-02-14 03:31:04+00:00,,,,51.0
2025-02-14 03:32:05+00:00,,,,52.0
2025-02-14 03:33:07+00:00,,,,51.0
2025-02-14 03:35:10+00:00,,,,54.0
2025-02-14 03:36:10+00:00,,,,52.0
2025-02-14 03:37:11+00:00,,,,51.0
2025-02-14 03:39:14+00:00,,,,52.0
2025-02-14 03:40:14+00:00,,,,52.0
2025-02-14 03:43:21+00:00,,,,53.0
2025-02-14 03:44:21+00:00,,,,51.0
2025-02-14 03:47:26+00:00,,,,52.0
2025-02-14 03:48:27+00:00,,,,51.0
2025-02-14 03:49:29+00:00,,,,56.0
2025-02-14 03:50:30+00:00,,,,52.0
2025-02-14 03:52:33+00:00,,,,52.0
2025-02-14 03:53:34+00:00,,,,52.0
2025-02-14 03:54:36+00:00,,,,52.0
2025-02-14 03:55:37+00:00,,,,52.0
2025-02-14 03:57:40+00:00,,,,53.0
2025-02-14 03:59:43+00:00,,,,52.0
2025-02-14 04:00:44+00:00,,,,52.0
2025-02-14 04:01:46+00:00,,,,52.0
2025-02-14 04:02:47+00:00,,,,53.0
2025-02-14 04:03:49+00:00,,,,52.0
2025-02-14 04:04:50+00:00,,,,52.0
2025-02-14 04:05:52+00:00,,,,57.0
2025-02-14 04:06:53+00:00,,,,55.0
2025-02-14 04:07:54+00:00,,,,52.0
2025-02-14 04:08:55+00:00,,,,56.0
2025-02-14 04:09:56+00:00,,,,52.0
2025-02-14 04:10:58+00:00,,,,53.0
2025-02-14 04:11:59+00:00,,,,56.0
