"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"08","013","0003","81102","4","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","1 HOUR","","2024-09-26","2024","270","Micrograms/cubic meter (25 C)","None","","24","100.0000","","29.141667","","72","7",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2024-09-26","2024","270","Micrograms/cubic meter (LC)","None","","1","100.0000","","5.7","","5.7","0","32","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2024-09-26","2024","270","Micrograms/cubic meter (LC)","None","","1","100.0000","","5.7","","5.7","0","32","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","81102","4","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2024-09-26","2024","270","Micrograms/cubic meter (25 C)","None","","1","100.0000","","29","","29","23","27","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2024-09-27","2024","271","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.5","","7.5","0","42","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","1 HOUR","","2024-09-27","2024","271","Micrograms/cubic meter (LC)","None","","22","92.0000","","7.5","","18.5","6",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2024-09-27","2024","271","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.5","","7.5","0","42","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","81102","4","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","1 HOUR","","2024-09-27","2024","271","Micrograms/cubic meter (25 C)","None","","22","92.0000","","46.504545","","185","6",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","81102","4","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2024-09-27","2024","271","Micrograms/cubic meter (25 C)","None","","1","100.0000","","46","","46","23","43","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","4","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2024-09-28","2024","272","Micrograms/cubic meter (LC)","None","","1","100.0000","","6.9","","6.9","0","38","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
